species name (Kudrna et al. 2011);full species name (Kudrna et al. 2011);Family;range.size;temp.mean;temp.ci.95.low;temp.ci.95.up;temp.min;temp.max;temp.sd;temp.median;range.ann.temp.mean;range.ann.temp.ci.95.low;range.ann.temp.ci.95.up;range.ann.temp.min;range.ann.temp.max.;range.ann.temp.sd;range.ann.temp.median;precip.mean;precip.ci.95.low;precip.ci.95.up;precip.min;precip.max;precip.sd;precip.median;range.ann.precip.mean;range.ann.precip.ci.95.low;range.ann.precip.ci.95.up;range.ann.precip.min;range.ann.precip.max;range.ann.precip.sd;range.ann.precip.median;gdd.feb.mean;gdd.feb.ci.95.low;gdd.feb.ci.95.up;gdd.feb.min;gdd.feb.max;gdd.feb.sd;gdd.feb.median;gdd.apr.mean;gdd.apr.ci.95.low;gdd.apr.ci.95.up;gdd.apr.min;gdd.apr.max;gdd.apr.sd;gdd.apr.median;gdd.june.mean;gdd.june.ci.95.low;gdd.june.ci.95.up;gdd.june.min;gdd.june.max;gdd.june.sd;gdd.june.median;gdd.aug.mean;gdd.aug.ci.95.low;gdd.aug.ci.95.up;gdd.aug.min;gdd.aug.max;gdd.aug.sd;gdd.aug.median;swc.mean;swc.ci.95.low;swc.ci.95.up;swc.min;swc.max;swc.sd;swc.median
Lasiommata maera;Lasiommata maera (Linnaeus, 1758);Nymphalidae;888;8.56;8.31;8.8;-2.8;18.17;3.76;8.55;18.85;18.65;19.05;10.34;27.54;3.09;18.85;798.37;778.98;817.75;363.79;2908.6;294.35;707.79;63;60.89;65.11;16.83;247.18;32.03;53.75;52.17;47.76;56.57;0.07;437.3;66.88;25.41;215.85;203.98;227.72;0.11;1033.83;180.17;183.21;776.22;753.08;799.37;68.19;1937.66;351.41;754.8;1581.67;1544.96;1618.37;253.1;3273.26;557.32;1553.92;0.44;0.43;0.45;0.17;0.85;0.12;0.43
Lasiommata megera;Lasiommata megera (Linnaeus, 1767);Nymphalidae;1053;10.39;10.2;10.58;0.85;18.64;3.13;9.74;17.37;17.17;17.57;8.58;24.37;3.32;17.42;775.99;760.29;791.69;260.25;2507.04;259.65;715.34;63.22;61.34;65.1;16.83;223.21;31.05;55.75;81.72;76.25;87.19;0.4;450.89;90.48;44.44;301.36;288.73;313.98;3.08;1087.91;208.8;229.9;924.53;903.06;945.99;100.8;2042.82;354.93;823.89;1802.04;1769.23;1834.84;372.71;3353.42;542.47;1653.32;0.42;0.41;0.43;0.15;0.84;0.12;0.41
Lasiommata paramegaera;Lasiommata paramegaera (Hübner, 1824);Nymphalidae;15;14.69;13.94;15.43;12.27;16.36;1.35;14.61;14.75;14.3;15.19;13.89;16.46;0.81;14.45;685.1;628.02;742.17;533.67;817.49;103.07;684.02;89.44;82.94;95.95;70.49;111.19;11.75;88.17;219.46;184.82;254.09;125.31;317.4;62.55;220.86;570.95;495.99;645.9;353.21;766.57;135.36;578.93;1322.59;1202.23;1442.95;951.36;1615.1;217.34;1317.46;2423.18;2254.9;2591.45;1888.21;2793.27;303.86;2390.99;0.39;0.37;0.41;0.32;0.45;0.04;0.4
Lasiommata petropolitana;Lasiommata petropolitana (Fabricius, 1787);Nymphalidae;352;5.07;4.73;5.4;-2.2;15.96;3.19;5.22;20.58;20.2;20.95;12.57;29.55;3.56;19.96;816.8;781.36;852.24;428.69;2908.6;338.08;660.12;59.04;56.08;62;24.27;247.18;28.22;49.85;18.12;16.04;20.21;0.08;218.54;19.91;14.51;79.6;70.39;88.81;0.11;660.75;87.87;47.94;484.59;460.65;508.53;68.19;1585.34;228.34;454.43;1125.53;1084.55;1166.52;253.1;2808.87;390.96;1102.37;0.49;0.47;0.5;0.23;0.85;0.13;0.46
Leptidea duponcheli;Leptidea duponcheli (Staudinger, 1871);Pieridae;67;11.15;10.48;11.83;2.36;16.83;2.77;11.49;18.85;18.32;19.39;14.84;24.38;2.21;19.2;772.46;722.14;822.79;508.65;1345.65;206.33;727.12;62.72;54.46;70.97;26.41;183.66;33.84;53.79;65.76;52.01;79.5;0.97;307.94;56.35;49.89;299.39;262.6;336.18;5.38;770.53;150.83;283.87;990.36;913.05;1067.66;135.88;1694.88;316.94;1049.23;1961.52;1840.91;2082.13;513.35;2922.42;494.46;2066.6;0.37;0.34;0.39;0.23;0.68;0.09;0.35
Leptidea morsei;Leptidea morsei (Fenton, 1882);Pieridae;49;8.94;8.36;9.51;3.24;12.23;2.01;9;20.48;20.14;20.82;16.94;23.14;1.19;20.64;778.7;697.75;859.65;491.35;1782.31;281.82;675.75;62.84;57.22;68.46;33.26;104.97;19.56;60.87;26.03;21.52;30.54;3.46;89.93;15.7;23.68;220.03;195.25;244.8;23.35;367.45;86.26;226.42;857.34;795.56;919.11;240.32;1188.85;215.07;900.84;1706.34;1605.42;1807.25;678.18;2221.11;351.34;1771.8;0.42;0.38;0.46;0.22;0.74;0.13;0.41
Leptidea sinapis;Leptidea sinapis (Linnaeus, 1758);Pieridae;1089;9.11;8.88;9.35;-3.1;18.35;3.92;9.09;18.5;18.28;18.71;8.58;28.91;3.57;18.58;770.01;754.15;785.88;315.7;2670.13;266.77;689.29;62.26;60.4;64.11;16.83;223.21;31.21;53.68;65.54;60.74;70.34;0.07;450.89;80.75;31.17;249.83;237.76;261.9;0.11;1034.3;202.95;205.03;830.47;808.59;852.36;68.19;2004.92;368.09;790.15;1660.49;1626.43;1694.55;253.1;3353.42;572.84;1600.98;0.43;0.42;0.44;0.15;0.84;0.12;0.42
Leptotes pirithous;Leptotes pirithous (Linnaeus, 1767);Lycaenidae;287;12.82;12.43;13.21;1.23;18.64;3.37;13.22;17.01;16.7;17.33;9.5;23.03;2.69;17.12;795.39;762.06;828.72;315.7;1782.31;286.86;725.24;84.59;80.19;88.99;20.76;223.21;37.9;83.4;144.28;130.35;158.21;0.97;448.51;119.92;108.81;459.43;429.54;489.31;8.53;1087.91;257.23;416.3;1192.05;1145.76;1238.34;112.24;2042.82;398.44;1185.53;2221.87;2155.1;2288.65;377.09;3309.74;574.74;2264.78;0.41;0.4;0.43;0.15;0.81;0.13;0.39
Libythea celtis;Libythea celtis (Laicharting, 1782);Nymphalidae;181;12.19;11.76;12.61;0.85;17.56;2.91;12.53;17.68;17.35;18.01;11.15;22.38;2.26;17.67;814.02;771.52;856.51;260.25;1682.89;289.74;764.11;78.14;72.58;83.7;25.22;205.57;37.91;70.17;103.58;91.7;115.46;0.97;391.5;81.01;87.91;378.99;351.91;406.07;6.83;953.16;184.64;359.49;1091.5;1044.09;1138.92;111.96;1847.58;323.28;1127.81;2103.61;2031.22;2176;372.71;3145.32;493.55;2173.84;0.4;0.39;0.42;0.15;0.79;0.13;0.39
Limenitis camilla;Limenitis camilla (Linnaeus, 1764);Nymphalidae;526;8.85;8.66;9.04;0.85;15.46;2.26;8.87;17.7;17.45;17.96;9.5;23.24;2.99;17.79;815.11;794.5;835.73;483.92;1782.31;240.64;741.73;55.46;53.22;57.7;16.83;223.21;26.13;51.14;47.37;43.68;51.06;0.4;282.39;43.13;32.78;210.59;201.09;220.09;3.08;721.44;110.91;194.18;762.98;744.77;781.19;100.8;1479.11;212.56;756;1551.35;1522.43;1580.27;372.71;2650.4;337.64;1542.54;0.45;0.44;0.46;0.22;0.84;0.11;0.44
Limenitis populi;Limenitis populi (Linnaeus, 1758);Nymphalidae;529;7.48;7.26;7.69;0.85;14.05;2.5;7.74;19.26;19.03;19.5;10.34;27.54;2.76;19.27;769.55;750.21;788.89;473.13;1797.99;226.41;698;53.29;51.54;55.04;16.83;150.88;20.49;49.66;29.26;27.11;31.42;0.78;166.07;25.23;21.31;152.32;144.14;160.5;5.87;523.94;95.76;152.99;668.72;650.54;686.91;111.96;1334.5;212.87;687.9;1413.95;1384.99;1442.92;372.71;2494.56;339.13;1443.76;0.44;0.43;0.45;0.22;0.84;0.11;0.43
Limenitis reducta;Limenitis reducta Staudinger, 1901;Nymphalidae;410;11.07;10.75;11.38;0.85;18.17;3.26;11.27;17.24;17.03;17.45;11.15;23.24;2.15;17.16;863.96;838.54;889.38;424.75;1782.31;261.82;813.5;71.18;67.74;74.63;16.83;223.21;35.47;64.97;88.1;80.85;95.36;0.4;343.48;74.76;65.96;324.84;307.11;342.57;3.08;888.83;182.66;306.3;971.02;937.16;1004.89;100.8;1924.22;348.79;969.08;1898.29;1845.26;1951.33;372.71;3273.26;546.27;1908.52;0.45;0.43;0.46;0.22;0.84;0.12;0.44
Lopinga achine;Lopinga achine (Scopoli, 1763);Nymphalidae;275;8.2;7.91;8.49;1.7;13.6;2.47;8.42;19.03;18.72;19.34;11.39;25.03;2.6;19.04;805.85;776.17;835.53;491.35;1782.31;250.05;713.97;55.18;52.7;57.66;16.83;118.59;20.87;51.23;36.75;32.6;40.9;0.97;235.4;34.96;25.37;184.48;171.21;197.76;7.36;591.11;111.84;174.58;734.14;707.03;761.26;149.95;1316.65;228.4;748.81;1518.13;1475.69;1560.57;460.19;2438.76;357.5;1532.67;0.45;0.44;0.47;0.22;0.84;0.12;0.44
Lycaena alciphron;Lycaena alciphron (Rottemburg, 1775);Lycaenidae;519;9.53;9.27;9.78;0.85;16.62;2.97;9.08;18.71;18.49;18.92;9.98;23.49;2.49;18.86;772.44;751.7;793.18;414.75;1782.31;240.51;698.38;64.32;61.84;66.79;19.49;223.21;28.7;56.98;55.53;50.05;61;0.78;424.67;63.49;28.94;247.03;233.28;260.77;5.38;983.39;159.36;199.9;853.57;828.51;878.63;111.96;1768.21;290.57;807.84;1713.18;1673.53;1752.83;372.71;2876.9;459.82;1643.57;0.41;0.4;0.42;0.22;0.81;0.11;0.41
Lycaena dispar;Lycaena dispar (Haworth, 1802);Lycaenidae;383;9.34;9.13;9.55;3.12;14.95;2.13;9.39;19.77;19.5;20.03;11.46;25.94;2.66;20.5;706.61;687.87;725.35;315.7;1682.89;186.52;657.62;51.49;49.71;53.27;16.83;108.79;17.71;50.27;39.52;36.41;42.64;0.97;197.73;31;30.41;232.4;222.44;242.37;7.36;578.88;99.2;220.35;867.03;845.58;888.49;169.91;1390.1;213.56;839.93;1731.35;1696.75;1765.95;599.03;2544.75;344.44;1678.69;0.39;0.38;0.4;0.15;0.71;0.1;0.39
Lycaena helle;Lycaena helle ([Schiffermüller], 1775);Lycaenidae;148;4.89;4.26;5.51;-2.8;12.43;3.86;5;20.54;19.97;21.11;15.03;28.72;3.53;20.44;741.18;704.44;777.92;488.39;1581.7;226.18;662.61;52.01;49.39;54.64;26.3;106.69;16.16;50.52;20.01;16.78;23.23;0.07;125.17;19.86;13.3;98.99;83.81;114.17;0.19;389.38;93.44;46.94;500.82;458.54;543.1;84.45;1166.7;260.27;444.14;1123.04;1050.75;1195.32;292.41;2238.44;444.97;1075;0.49;0.47;0.5;0.28;0.84;0.12;0.48
Lycaena hippothoe;Lycaena hippothoe (Linnaeus, 1760);Lycaenidae;689;6.45;6.22;6.69;-3.72;14.72;3.4;7.3;19.71;19.49;19.93;12.69;28.56;3.19;19.48;761.59;744.61;778.57;432.32;1826.89;244.11;670.39;54.41;53.06;55.77;16.34;166.22;19.44;51.67;26.09;24.45;27.73;0.06;177.52;23.6;19.81;128.28;121.55;135;0.06;532.54;96.64;114.37;596.65;579.43;613.87;67.27;1343.67;247.52;616.97;1294.19;1265.04;1323.35;253.1;2503.48;419.08;1335.3;0.45;0.45;0.46;0.24;0.86;0.12;0.44
Lycaena ottomana;Lycaena ottomana (Lefebvre, 1831);Lycaenidae;37;12.82;12.21;13.43;8.41;15.96;1.83;13.08;18.61;18.03;19.19;15.24;23.02;1.73;18.94;770.83;690.56;851.11;475.8;1410.8;240.76;708.36;86.89;71.04;102.74;32.98;196.8;47.54;76.9;93.77;75.6;111.93;16.7;218.54;54.49;91.74;380.22;338.08;422.35;145.58;660.75;126.37;368.17;1167.21;1097.37;1237.05;704.34;1585.34;209.47;1169.6;2236.27;2135.12;2337.41;1518.51;2808.87;303.37;2239.45;0.37;0.34;0.39;0.24;0.54;0.08;0.34
Lycaena phlaeas;Lycaena phlaeas (Linnaeus, 1761);Lycaenidae;1340;9.29;9.08;9.5;-3.1;18.64;3.94;9.09;17.83;17.63;18.03;8.58;28.75;3.67;17.84;787.04;769.77;804.31;260.25;3042.73;322.24;692.69;63.17;61.37;64.96;16.83;247.18;33.46;54.13;71.23;66.55;75.92;0.07;450.89;87.4;34.86;258.2;246.63;269.76;0.11;1087.91;215.75;202.56;832.59;811.64;853.54;68.19;2042.82;390.93;774.78;1656.91;1624.25;1689.57;253.1;3353.42;609.5;1577.91;0.44;0.43;0.44;0.15;0.89;0.13;0.42
Lycaena thersamon;Lycaena thersamon (Esper, 1784);Lycaenidae;199;10.99;10.65;11.33;5.12;18.17;2.43;11.08;20.1;19.81;20.39;14.64;23.97;2.08;20.47;682.1;660.69;703.51;363.79;1316.98;153.17;648.99;63.97;60.21;67.74;25.22;196.8;26.9;57.91;57.74;49.51;65.97;4.59;362.29;58.88;35.84;307.36;288.9;325.82;68.79;905.19;132.03;297.32;1038.48;1005.48;1071.49;470.28;1924.22;236.11;1058.92;2015.03;1962.93;2067.13;1089.27;3273.26;372.68;2050.54;0.36;0.35;0.37;0.17;0.67;0.09;0.34
Lycaena thetis;Lycaena thetis Klug, 1834;Lycaenidae;6;13.16;12.29;14.03;11.95;14.04;0.83;13.38;17.21;16.06;18.35;16.01;18.63;1.09;16.92;715.94;638.15;793.74;570.37;764.11;74.13;744.72;101.29;81.84;120.73;69.51;116.96;18.53;107.16;100.65;66.95;134.35;57;138.45;32.11;94.97;369.71;295.68;443.73;273.66;455.6;70.54;369.47;1140.21;1024.17;1256.24;997.17;1263.71;110.57;1147.06;2203.33;2044.73;2361.93;2018.41;2369.15;151.13;2199.61;0.36;0.34;0.39;0.33;0.39;0.02;0.36
Lycaena tityrus;Lycaena tityrus (Poda, 1761);Lycaenidae;673;9.35;9.15;9.55;0.85;16.6;2.59;9.1;18.33;18.14;18.53;9.5;23.28;2.6;18.33;778.38;760.78;795.98;427.56;1782.31;232.59;723.47;59.43;57.36;61.49;16.83;223.21;27.26;54.41;50.9;47.09;54.71;0.4;344.85;50.34;32.61;235.55;225.7;245.39;3.08;880.34;130.1;205.63;829.83;810.65;849.01;100.8;1723.81;253.37;805.02;1665.66;1634.65;1696.67;372.71;2876.9;409.65;1623.33;0.43;0.42;0.43;0.22;0.84;0.11;0.41
Lycaena virgaureae;Lycaena virgaureae (Linnaeus, 1758);Lycaenidae;756;7.27;7.06;7.49;-1.64;15.96;3.01;7.78;19.55;19.34;19.76;13.47;27.81;2.89;19.33;757.44;740.44;774.45;427.56;1826.89;238.15;675.61;55.78;54.26;57.29;24.27;166.22;21.23;52.14;29.13;27.12;31.14;0.07;234.53;28.12;21.39;147.19;139.61;154.77;0.3;703.98;106.18;143.89;653.14;635.62;670.65;98.52;1585.34;245.35;667.51;1396.35;1367.67;1425.03;332.55;2824.22;401.67;1414.85;0.43;0.42;0.44;0.22;0.84;0.11;0.43
Maniola chia;Maniola chia Thomson, 1987;Nymphalidae;2;16.09;9.85;22.33;15.6;16.58;0.69;16.09;16.13;14.15;18.11;15.97;16.29;0.22;16.13;609.77;379.3;840.23;591.63;627.9;25.65;609.77;108.11;95.91;120.32;107.15;109.08;1.36;108.11;238.7;-102.02;579.41;211.88;265.51;37.92;238.7;681.57;-23.7;1386.84;626.07;737.08;78.5;681.57;1610.51;591;2630.01;1530.27;1690.74;113.47;1610.51;2816.93;1462.21;4171.64;2710.31;2923.55;150.78;2816.93;0.33;0.17;0.5;0.32;0.35;0.02;0.33
Maniola jurtina;Maniola jurtina (Linnaeus, 1758);Nymphalidae;1289;9.85;9.67;10.03;0.38;18.64;3.29;9.33;17.44;17.25;17.62;8.58;25.68;3.43;17.63;797.53;780.52;814.54;315.7;2908.6;311.27;709.5;63.13;61.33;64.93;16.83;247.18;32.95;54.29;74.41;69.66;79.15;0.34;450.89;86.8;38.41;273.13;261.78;284.48;0.49;1087.91;207.76;211.9;868.71;849;888.43;91.28;2042.82;360.83;797.46;1715.27;1684.96;1745.58;334.48;3353.42;554.74;1614.6;0.43;0.42;0.44;0.15;0.85;0.12;0.42
Maniola megala;Maniola megala (Oberthür, 1909);Nymphalidae;2;15.72;13.06;18.38;15.51;15.93;0.3;15.72;17.34;9.1;25.57;16.69;17.99;0.92;17.34;641.33;258.25;1024.4;611.18;671.47;42.64;641.33;108.46;30.22;186.69;102.3;114.61;8.71;108.46;197.99;172.2;223.79;195.96;200.02;2.87;197.99;618.65;516.08;721.21;610.57;626.72;11.42;618.65;1557.19;1162.31;1952.07;1526.11;1588.26;43.95;1557.19;2774.85;1949.3;3600.39;2709.87;2839.82;91.88;2774.85;0.36;0.23;0.48;0.35;0.36;0.01;0.36
Maniola nurag;Maniola nurag (Ghiliani, 1852);Nymphalidae;5;15.17;13.85;16.49;13.63;16.17;1.06;15.17;15.41;14.67;16.16;14.93;16.46;0.6;15.23;692.96;576.87;809.06;570.67;798.8;93.5;662.22;99.57;83.71;115.42;88.17;115.34;12.77;93.84;227.74;149.48;305.99;133.59;286.86;63.02;239.52;597.32;433.42;761.21;398.41;717.78;132;616.41;1392.43;1158.29;1626.57;1112.71;1567.95;188.57;1409.44;2550.6;2257.54;2843.65;2214.56;2781.54;236.02;2553.67;0.39;0.34;0.45;0.34;0.45;0.04;0.4
Maniola telmessia;Maniola telmessia (Zeller, 1847);Nymphalidae;7;17.1;16.04;18.16;15.51;18.17;1.15;17.84;16.16;15.11;17.21;14.53;17.99;1.14;16.16;689.66;642.28;737.05;611.18;747.57;51.23;691.33;135.16;117.07;153.25;102.3;153.56;19.56;143.13;290.47;218.84;362.1;195.96;366.04;77.45;333.16;780.45;654.27;906.63;610.57;905.19;136.43;856.58;1755.73;1595.83;1915.62;1526.11;1924.22;172.89;1857.14;3031.99;2826.08;3237.89;2709.87;3273.26;222.63;3153.08;0.36;0.34;0.37;0.33;0.38;0.01;0.36
Melanargia arge;Melanargia arge (Sulzer, 1776);Nymphalidae;33;14.02;13.43;14.6;9.46;16.64;1.65;14.31;16.48;16.21;16.74;15.05;17.88;0.75;16.32;791.93;743.36;840.49;506.84;1011.77;136.96;807.31;84.17;73.74;94.59;34.33;133.78;29.4;88.01;149.95;126.26;173.63;18.66;271.01;66.8;150.77;467.84;415.38;520.3;119.93;731.32;147.94;487.02;1248.95;1165.37;1332.52;641.97;1665.82;235.7;1276.63;2356.23;2242.2;2470.25;1500.94;2912.38;321.58;2409.15;0.43;0.42;0.45;0.34;0.52;0.05;0.44
Melanargia galathea;Melanargia galathea (Linnaeus, 1758);Nymphalidae;802;9.71;9.54;9.89;0.85;17.56;2.55;9.49;18.25;18.05;18.46;10;24.37;2.95;18.38;782.6;766.17;799.03;315.7;1782.31;237.05;725.37;57.81;56.15;59.47;16.83;183.66;23.94;54.53;53.89;50.37;57.4;0.4;358.6;50.71;34.95;249.61;240.74;258.48;3.08;866.42;127.97;221.97;861.83;843.7;879.96;100.8;1798.78;261.53;819.13;1717.31;1687.91;1746.71;372.71;3062.91;424.16;1651.5;0.43;0.42;0.43;0.15;0.84;0.12;0.42
Melanargia ines;Melanargia ines (Hoffmannsegg, 1804);Nymphalidae;79;15.19;14.73;15.66;9.33;18.41;2.09;15.89;15.74;15.22;16.25;9.98;19.17;2.31;16.26;604.78;558.87;650.68;260.25;1564.51;204.96;567.07;83.35;74.97;91.72;31.51;205.57;37.39;80.65;242.32;216.2;268.44;25.53;448.51;116.61;249.52;675.25;620.63;729.86;133.37;1087.91;243.82;703.98;1478.93;1402.01;1555.86;617.55;2042.82;343.43;1554.72;2633.63;2536.72;2730.53;1493.96;3353.42;432.64;2767.76;0.32;0.3;0.34;0.15;0.61;0.08;0.31
Melanargia lachesis;Melanargia lachesis (Hübner, 1790);Nymphalidae;111;13.09;12.66;13.51;8.38;17.49;2.25;13.16;15.66;15.23;16.09;9.5;19.33;2.28;16.11;742.15;690.47;793.82;260.25;1762.13;274.71;686.74;80.57;72.13;89.01;31.51;223.21;44.87;60.36;157.81;138.51;177.11;25.53;419.28;102.61;135.3;476.21;433.12;519.3;114.24;1013.21;229.08;462.68;1157.35;1092.23;1222.46;520.36;1854.43;346.17;1135.96;2179.76;2093.17;2266.35;1238.49;3085.8;460.36;2175.22;0.38;0.36;0.4;0.15;0.63;0.11;0.36
Melanargia larissa;Melanargia larissa (Esper, 1784);Nymphalidae;73;12.95;12.38;13.51;6.3;17.63;2.41;13.3;18.42;18;18.84;13.8;21.9;1.8;18.6;735.31;681.4;789.22;436.46;1410.8;231.05;681.47;79.52;70.56;88.47;26.81;196.8;38.38;76.44;107.62;89.14;126.1;8.92;346.86;79.22;91.74;404.5;363.69;445.32;100.33;869.44;174.92;397.25;1196.26;1128.99;1263.54;536.89;1857.7;288.33;1208.99;2267.65;2171.12;2364.18;1202.33;3176.24;413.74;2294.51;0.36;0.34;0.38;0.23;0.55;0.08;0.34
Melanargia occitanica;Melanargia occitanica (Esper, 1793);Nymphalidae;85;13.79;13.3;14.28;8.68;18.26;2.26;13.76;15.88;15.47;16.29;9.98;19.17;1.91;16.22;702.1;650.81;753.39;260.25;1564.51;237.79;686.74;77.53;69.29;85.77;30.16;205.57;38.2;65.41;180.38;157.5;203.26;25.53;424.67;106.07;149.86;532.37;481.7;583.04;115.39;1033.87;234.91;497.7;1264.4;1189.12;1339.69;547.07;2008.44;349.03;1243.86;2338.11;2238.48;2437.74;1303.63;3314.16;461.91;2305.06;0.37;0.35;0.39;0.15;0.61;0.1;0.36
Melanargia pherusa;Melanargia pherusa (Boisduval, 1833);Nymphalidae;4;16.85;15.07;18.63;15.28;17.72;1.12;17.2;14.82;13.88;15.76;14.28;15.66;0.59;14.67;573.32;530.81;615.83;553.76;611.46;26.71;564.03;87.44;78.44;96.44;79.28;91.28;5.66;89.6;316.41;188.87;443.95;203.4;385.1;80.15;338.57;775.01;529.38;1020.63;557.25;900.34;154.36;821.22;1669.61;1351;1988.21;1386.08;1821.91;200.23;1735.22;2894.21;2501.56;3286.85;2545.66;3075.09;246.76;2978.04;0.36;0.33;0.38;0.34;0.37;0.01;0.35
Melanargia russiae;Melanargia russiae (Esper, 1784);Nymphalidae;111;12.2;11.73;12.68;3.58;17.48;2.52;12.24;16.56;16.22;16.9;10.72;21.98;1.82;16.73;792.54;749.73;835.34;397.54;1564.51;227.55;780.4;72.81;66.33;79.29;30.16;205.57;34.45;62.06;110.16;95.49;124.83;0.99;351.79;77.98;84.4;367.71;333.26;402.16;5.38;852.41;183.13;340.72;1033.06;972.12;1094;166.78;1780.7;323.98;1026.81;2027.82;1938.48;2117.15;609.5;3056.04;474.93;2015.39;0.4;0.38;0.41;0.22;0.61;0.09;0.41
Melitaea aetherie;Melitaea aetherie (Hübner, 1826);Nymphalidae;26;16.67;16.25;17.09;14.45;18.35;1.04;16.72;14.53;13.61;15.45;9.98;18.64;2.28;15.08;602.64;553.07;652.21;260.25;919.05;122.73;582.93;96.85;87.05;106.65;31.51;137.72;24.25;95.74;326.31;288.8;363.83;144.84;450.89;92.88;325.71;828.97;754.67;903.26;449.88;1064.24;183.95;859.11;1702.33;1616.24;1788.42;1238.1;2004.92;213.14;1750.15;2904.71;2805.93;3003.49;2362.01;3353.42;244.56;2915.46;0.34;0.31;0.36;0.15;0.47;0.06;0.33
Melitaea arduinna;Melitaea arduinna (Esper, 1784);Nymphalidae;14;10.92;10.3;11.54;9.32;12.78;1.07;10.72;20.61;19.81;21.41;18.33;22.98;1.38;20.22;628.65;557.21;700.1;436.85;899.89;123.74;610.87;46.46;35.27;57.65;26.41;96.86;19.38;42.27;38.3;27.47;49.13;19.42;80.79;18.75;32.14;262.36;222.59;302.14;142.88;362.15;68.89;253.62;988.98;903.03;1074.94;730.9;1187.02;148.87;985.12;1977.92;1851.01;2104.82;1618.39;2273.19;219.8;1980.49;0.28;0.26;0.3;0.21;0.34;0.04;0.29
Melitaea asteria;Melitaea asteria Freyer, 1828;Nymphalidae;15;3.74;2.53;4.95;0.85;8.61;2.18;3.24;16.4;15.63;17.17;14.44;19.87;1.39;16.17;1314.21;1232.33;1396.09;1107.46;1577.23;147.85;1324.39;95.2;88.53;101.87;69.97;118.59;12.04;96.76;5.19;2.61;7.76;1.35;18.34;4.64;3.97;42.73;17.57;67.9;6.83;184.27;45.44;25.25;293.3;196.48;390.11;111.96;773.9;174.82;242.18;748.83;568.61;929.05;372.71;1586.24;325.43;660.58;0.75;0.71;0.79;0.58;0.84;0.07;0.75
Melitaea athalia;Melitaea athalia (Rottemburg, 1775);Nymphalidae;1011;8.27;8.07;8.47;-3.48;17.56;3.55;8.47;19.37;19.19;19.56;9.5;29.55;3.26;19.31;744.64;731.96;757.33;353.69;1782.31;227.09;673.01;56.38;55.08;57.69;15.82;205.57;23.33;51.96;44.93;42.06;47.81;0.03;358.6;51.46;25.48;200.22;191.94;208.49;0.05;880.26;148.16;181.58;754.85;738.22;771.49;57.02;1798.78;297.85;755.91;1554.9;1528.2;1581.61;216.97;3062.91;478.16;1559.67;0.42;0.42;0.43;0.17;0.85;0.11;0.42
Melitaea aurelia;Melitaea aurelia Nickerl, 1850;Nymphalidae;268;8.68;8.4;8.95;1.23;14.95;2.28;8.9;18.81;18.56;19.07;14.05;23.91;2.13;18.84;833.3;800.7;865.9;424.76;1782.31;271.07;739.03;57.29;54.47;60.1;16.83;122.48;23.44;52.45;32.64;29.86;35.41;0.78;197.73;23.05;28.01;196.98;185.59;208.38;7.36;578.88;94.75;193.71;771.52;743.27;799.76;112.24;1390.1;234.85;779.65;1577.51;1530.95;1624.07;377.09;2544.75;387.14;1583.79;0.45;0.43;0.47;0.21;0.84;0.13;0.43
Melitaea britomartis;Melitaea britomartis Assmann, 1847;Nymphalidae;99;8.84;8.38;9.3;2.75;17.72;2.31;8.85;20.02;19.66;20.38;14.28;23.91;1.81;20.23;725.82;672.93;778.72;424.76;1782.31;265.19;637.37;55.62;51.65;59.6;28.1;103.32;19.92;50.3;31.72;23.92;39.51;5.96;385.1;39.08;26;209.34;185.9;232.78;24.55;900.34;117.51;194.92;825.11;773.74;876.48;308.99;1821.91;257.55;807.84;1666.53;1585.66;1747.39;801.94;3075.09;405.43;1646.2;0.39;0.37;0.42;0.21;0.74;0.12;0.35
Melitaea cinxia;Melitaea cinxia (Linnaeus, 1758);Nymphalidae;673;9.6;9.38;9.82;-2.99;17.28;2.89;9.39;18.09;17.9;18.28;10.34;25.23;2.55;17.94;762.92;745.71;780.12;323.33;1782.31;227.38;711.85;56.71;54.68;58.74;16.83;194.4;26.83;51.06;57.98;53.72;62.24;0.4;366.24;56.29;36.2;242.7;231.25;254.16;3.08;912.17;151.32;209.95;839.57;817.53;861.61;100.8;1810.87;291.19;807.84;1690.66;1655.8;1725.51;372.71;3042.96;460.48;1633.17;0.41;0.41;0.42;0.17;0.84;0.11;0.41
Melitaea deione;Melitaea deione (Geyer, 1832);Nymphalidae;108;11.58;10.83;12.34;0.85;17.09;3.96;12.34;15.74;15.38;16.09;9.98;19.17;1.85;15.95;850.16;794.08;906.25;372.21;1762.13;294.01;832.98;75.66;68;83.33;27.76;223.21;40.18;60.84;131.56;110.96;152.16;0.78;424.67;107.99;107.4;398.15;347.82;448.49;5.38;1013.21;263.89;385.34;1008.15;921.23;1095.08;111.96;1854.43;455.68;1044.18;1939.61;1810.13;2069.09;372.71;3012.39;678.76;2033.33;0.43;0.4;0.45;0.22;0.79;0.13;0.43
