species,cluster,Family,N,range_N,urban_score_mean,urban_score_25,urban_score_75,overwintering_stage,flight_months_average,wing_index,hostplant_specificity,hostplant_index,egg_laying_type,egg_laying_location,adult_food_types,hostplant_growth_form,voltinism_mean,temp_mean,hostplant_growth_Sh,hostplant_growth_Th,hostplant_growth_Sb,hostplant_growth_Tr,overwintering_stage_E,overwintering_stage_L,overwintering_stage_P,overwintering_stage_A,overwintering_stage_ordinal
Aricia cramera,3,Lycaenidae,988,43404,-3.0385369548873657,-0.023115962743759155,-0.18490397930145264,ELPA,9.5,-0.054,4,0.112,Se,1,2,1,2.5,14.28,1,0,0,0,1,1,1,1,4
Aricia nicias,3,Lycaenidae,522,72917,-1.5772841200172656,-0.03126116842031479,-0.7502418160438538,L,2,-0.053,2,0.707,Se,2,2,1,1,4.14,1,0,0,0,0,1,0,0,2
Boloria aquilonaris,3,Nymphalidae,1361,454792,-2.3130675830155605,-0.049841612577438354,-1.4771921634674072,L,2,-0.019,1,0.289,Se,2,1,1,1,4.17,0,0,1,0,0,1,0,0,2
Boloria dia,3,Nymphalidae,1652,124405,-0.3240306934366053,0.0030082762241363525,-0.08392052352428436,L,5.5,-0.022,2,0.447,Se,2,1,1,2.5,9.28,1,0,0,0,0,1,0,0,2
Boloria eunomia,3,Nymphalidae,1166,615408,-2.1605286662043395,-0.02058052271604538,-0.9830840826034546,L,3,-0.003,1,0.183,Sb,2,1,1,1,3.45,1,0,0,0,0,1,0,0,2
Boloria euphrosyne,3,Nymphalidae,5194,804389,-1.897782698453522,-0.0376640260219574,-0.9834069013595581,L,4,-0.001,2,0.577,Se,2,1,1,1.5,6.95,1,0,0,0,0,1,0,0,2
Boloria freija,2,Nymphalidae,255,65699,-1.6106637964700072,0.005658164620399475,-0.44889914989471436,L,2.5,-0.006,4,0.158,Se,3,1,2,1,1.33,1,0,1,0,0,1,0,0,2
Boloria napaea,3,Nymphalidae,413,176935,-1.8939822566621964,-0.043518319725990295,-0.6145694255828857,L,3,-0.006,4,0.354,Se,2,1,1,1,2.37,1,0,0,0,0,1,0,0,2
Boloria selene,3,Nymphalidae,7069,655270,-1.7910082703839945,-0.01711040735244751,-0.8495199680328369,LP,3.5,-0.004,2,0.577,Se,2,2,1,1.5,6.93,1,0,0,0,0,1,1,0,3
Brenthis ino,3,Nymphalidae,6956,644835,-1.6298779366180938,-0.015468060970306396,-0.7942050099372864,EL,2.5,-0.008,3,0.204,Sb,3,2,1,1,6.86,0,0,1,0,1,1,0,0,1.5
Brintesia circe,2,Nymphalidae,425,113412,-0.246433180603288,0.039454005658626556,-0.04218372702598572,L,4.5,0.109,3,0.204,Sb,2,5,2,1,11.07,1,1,0,0,0,1,0,0,2
Callophrys rubi,3,Lycaenidae,12755,920159,-0.7598705554518843,-0.0025939643383026123,-0.2167114019393921,P,6,-0.047,4,0.033,Se,3,4,3,1.25,8.57,1,1,1,0,0,0,1,0,3.5
Carcharodus alceae,1,Hesperiidae,1657,206826,1.7817253557206132,0.05618283152580261,1.582627296447754,L,8,-0.041,4,0.167,Se,2,1,2,2.5,11.14,1,1,0,0,0,1,0,0,2
Carterocephalus palaemon,3,Hesperiidae,1498,683785,-2.0238575403356003,-0.01956579089164734,-0.9010615348815918,L,2.5,-0.044,3,0.126,Se,1,1,2,1,6.9,1,1,0,0,0,1,0,0,2
Carterocephalus silvicola,3,Hesperiidae,1955,422827,-1.669764149580617,-0.015017390251159668,-0.6155326068401337,L,2.5,-0.055,3,0.2,Se,2,1,2,1,5.19,1,1,0,0,0,1,0,0,2
Celastrina argiolus,2,Lycaenidae,13446,938014,2.326327705138785,0.0441838800907135,2.8214495182037354,P,7,-0.039,4,0.02,Se,2,4,5,1.5,9.14,1,1,1,1,0,0,1,0,3.5
Charaxes jasius,3,Nymphalidae,1029,54320,1.89530899556895,-0.04542893171310425,0.22402846813201904,L,6.5,0.148,4,0.102,Sb,2,3,3,1.5,14.77,0,1,1,1,0,1,0,0,2
Chazara briseis,3,Nymphalidae,272,37604,-1.5293690072216628,-0.023885272443294525,-0.5944146066904068,L,4,0.053,3,0.333,Sb,2,4,2,1,10.29,1,1,0,0,0,1,0,0,2
Coenonympha arcania,2,Nymphalidae,9577,588766,0.20237964595319102,0.023808926343917847,0.1490638256072998,L,3.5,-0.016,3,0.169,Sb,1,2,1,1.25,9.04,1,0,0,0,0,1,0,0,2
Coenonympha dorus,3,Nymphalidae,471,53498,-3.17185902008948,-0.06390484422445297,-0.5714819431304932,L,3,-0.027,3,0.169,Se,1,2,1,1,12.67,1,0,0,0,0,1,0,0,2
Coenonympha hero,2,Nymphalidae,2840,31643,-1.4747158940991683,0.040218353271484375,-0.17783546447753906,L,3.5,-0.029,3,0.154,Se,2,2,2,1,7.44,1,1,0,0,0,1,0,0,2
Coenonympha pamphilus,2,Nymphalidae,23461,912852,-0.4569201286249056,0.00560721755027771,-0.09230291843414307,L,7,-0.041,3,0.096,Se,1,1,2,2,8.96,1,1,0,0,0,1,0,0,2
Coenonympha tullia,3,Nymphalidae,1457,676445,-2.4544179799371015,-0.039073944091796875,-1.2987619936466217,L,2,-0.017,3,0.115,Se,1,2,1,1,6.36,1,0,0,0,0,1,0,0,2
Colias crocea,1,Pieridae,7164,617217,1.9741049741597907,-0.043153613805770874,0.7997761964797974,LP,7,0.025,3,0.041,Se,2,2,3,3,10.69,1,1,1,0,0,1,1,0,3
Colias hyale,2,Pieridae,672,230652,-0.6104310676476772,0.03015628457069397,-0.041558146476745605,LP,6.5,0.017,3,0.204,Se,2,1,3,2.5,8.37,1,1,1,0,0,1,1,0,3
Colias palaeno,3,Pieridae,3676,523185,-1.765867375791586,-0.02679947018623352,-0.6974699944257736,EL,3,0.029,2,0.707,Se,1,2,1,1,3.62,0,0,1,0,1,1,0,0,1.5
Colias phicomone,3,Pieridae,530,38329,-0.5764393479772734,0.002736896276473999,-0.4117327034473419,L,3.5,0.015,3,0.169,Se,1,1,1,1.25,6.76,1,0,0,0,0,1,0,0,2
Colias tyche,2,Pieridae,256,2095,-0.16250474542709448,0.21004734933376312,-0.01623225212097168,L,3,0.027,3,0.289,Se,1,2,3,1,-2.36,1,0,1,1,0,1,0,0,2
Cupido alcetas,2,Lycaenidae,326,67251,-0.44224926949387466,0.050458431243896484,0.15322840213775635,L,7,-0.041,3,0.183,Se,1,2,2,2.5,10.81,1,1,0,0,0,1,0,0,2
Cupido minimus,1,Lycaenidae,4111,752577,-0.10320425469671601,0.008202791213989258,0.7539796829223633,L,6,-0.062,3,0.105,Se,2,4,3,1.5,8.76,1,1,1,0,0,1,0,0,2
Cyaniris semiargus,2,Lycaenidae,5146,691656,-0.3979684709070592,0.018170714378356934,-0.1811503767967224,L,6,-0.038,3,0.169,Se,1,1,2,1.25,7.91,1,1,0,0,0,1,0,0,2
Erebia cassioides,3,Nymphalidae,312,35688,-0.9647660586315415,-0.03147263824939728,-0.5244535431265831,L,3,-0.016,1,1,Se,1,2,1,1,8.01,1,0,0,0,0,1,0,0,2
Erebia epiphron,3,Nymphalidae,384,32285,-0.5851179998656038,-0.014854781329631805,-0.35651636123657227,L,2.5,-0.011,1,0.224,Se,1,1,1,0.75,7.52,1,0,0,0,0,1,0,0,2
Erebia euryale,3,Nymphalidae,964,58150,-0.8479493205725236,-0.028649330139160156,-0.4628893733024597,EL,3,0.008,3,0.096,Se,2,1,2,0.75,7.74,1,1,0,0,1,1,0,0,1.5
Erebia ligea,3,Nymphalidae,4050,506765,-1.3003994343212337,-0.03501442074775696,-0.5587354898452759,EL,3,0.02,2,0.183,Se,1,2,1,0.75,5.51,1,0,0,0,1,1,0,0,1.5
Erebia medusa,3,Nymphalidae,1248,56074,-0.2753301932893608,0.00287550687789917,-0.09417222440242767,L,3.5,0.002,3,0.224,Se,1,1,2,0.75,8.4,1,1,0,0,0,1,0,0,2
Erebia meolans,3,Nymphalidae,458,43715,-0.5056270384726902,-0.05690044164657593,-0.3874545022845268,L,3.5,0.013,3,0.2,Se,1,1,1,1,8.94,1,0,0,0,0,1,0,0,2
Erebia pandrose,3,Nymphalidae,904,241414,-2.34416461197129,-0.039590783417224884,-1.2386914193630219,L,2.5,0.009,3,0.192,Se,2,1,1,0.5,2.92,1,0,0,0,0,1,0,0,2
Erynnis tages,3,Hesperiidae,3292,728930,-1.1163932625837605,-0.007756628096103668,-0.6608774662017822,L,4,-0.042,4,0.129,Se,1,2,1,1.5,9.12,1,0,0,0,0,1,0,0,2
Euchloe belemia,1,Pieridae,265,14842,0.44292280828017194,0.042135030031204224,2.9748826026916504,P,5,0.001,3,0.354,Se,1,1,1,2,15.65,1,0,0,0,0,0,1,0,3.5
Euchloe crameri,3,Pieridae,525,38567,-1.7284982197502479,-0.00517609715461731,0.2266322374343872,P,3,0.008,3,0.154,Se,1,2,3,1.5,12.79,1,1,1,0,0,0,1,0,3.5
Eumedonia eumedon,3,Lycaenidae,1548,480696,-1.2394190120544049,0.0035569071769714355,-0.3657456636428833,L,4,-0.037,2,0.218,Se,1,2,1,1,5.98,1,0,0,0,0,1,0,0,2
Euphydryas aurinia,3,Nymphalidae,33799,602317,-2.313744746511647,-0.052938997745513916,-0.9417567551136017,L,3.5,-0.004,4,0.102,Lb,1,1,2,1,9.53,1,1,0,0,0,1,0,0,2
Euphydryas maturna,3,Nymphalidae,3187,25517,-4.371235379733532,-0.1539132297039032,-4.794778883457184,LP,2.5,0.002,4,0.046,Lb,1,2,4,0.75,7.64,1,1,1,1,0,1,1,0,3
Fabriciana adippe,3,Nymphalidae,5375,705466,-1.4423085195801626,-0.020116597414016724,-0.6686684191226959,EL,3.5,0.051,2,0.5,Se,2,3,1,1,8.37,1,0,0,0,1,1,0,0,1.5
Fabriciana niobe,3,Nymphalidae,785,584369,-1.5726592940307162,0.012269139289855957,-0.5446044206619263,EL,2.5,0.036,2,0.408,Se,2,1,1,1,8.5,1,0,0,0,1,1,0,0,1.5
Favonius quercus,1,Lycaenidae,3316,755354,0.8727542533442811,0.05242562294006348,1.1417768001556396,E,5,-0.032,2,0.408,Se,1,4,1,1,9.49,0,0,0,1,1,0,0,0,1
Glaucopsyche alexis,1,Lycaenidae,2050,464081,1.6850372716867836,0.0858311653137207,3.073054552078247,P,5,-0.036,3,0.065,Se,1,3,3,1,9.59,1,1,1,0,0,0,1,0,3.5
Glaucopsyche melanops,3,Lycaenidae,559,48303,-3.6355160676664715,-0.011222362518310547,-0.7705729603767395,P,2,-0.046,3,0.224,Se,1,3,2,1,13.26,1,0,1,0,0,0,1,0,3.5
Gonepteryx cleopatra,2,Pieridae,2668,90603,-1.8845813802919742,0.036599040031433105,0.3073927164077759,A,7.5,0.061,2,0.577,Se,1,1,2,2,13.95,0,0,1,1,0,0,0,1,4.5
Gonepteryx rhamni,2,Pieridae,43445,901700,0.3996340353601937,0.025467008352279663,0.8600250482559204,A,8,0.063,3,0.218,Se,1,2,2,1,8.81,0,0,1,1,0,0,0,1,4.5
Hamearis lucina,3,Riodinidae,500,190685,-0.9115843184147154,-0.007654100656509399,-0.32024309784173965,P,6,-0.032,2,0.577,Sb,1,1,1,1,9.11,1,0,0,0,0,0,1,0,3.5
Hesperia comma,3,Hesperiidae,4758,683582,-1.441425448241144,-0.025776758790016174,-0.652013897895813,EL,3.5,-0.036,3,0.333,Se,2,1,1,1,8.47,1,0,0,0,1,1,0,0,1.5
Hipparchia fagi,3,Nymphalidae,739,74945,-0.2658565270020443,0.001141965389251709,-0.04755482077598572,L,4.5,0.095,3,0.25,Se,1,4,1,1,10.53,1,0,0,0,0,1,0,0,2
Hipparchia fidia,2,Nymphalidae,702,51979,-3.7730506995410993,0.005353063344955444,-0.8555107414722443,L,3.5,0.066,3,0.144,Se,2,3,2,1,13.55,1,1,0,0,0,1,0,0,2
Hipparchia hermione,3,Nymphalidae,289,128051,-0.9916787768797084,-0.09780067205429077,-0.44103097915649414,L,2,0.074,3,0.408,Se,1,2,2,1,10.34,1,1,0,0,0,1,0,0,2
Hipparchia semele,3,Nymphalidae,6927,734684,0.160730625816766,-0.036300063133239746,0.23214715719223022,L,3.5,0.036,3,0.143,Se,2,4,2,1,9.18,1,1,0,0,0,1,0,0,2
Hipparchia statilinus,2,Nymphalidae,311,73823,-2.107420469606595,0.04449954628944397,-0.22554287314414978,L,5,0.03,3,0.123,Se,2,4,2,1,11.83,1,1,0,0,0,1,0,0,2
Hyponephele lycaon,3,Nymphalidae,395,95523,-2.1402064753735806,-0.06106630712747574,-0.34378546476364136,L,3.5,0,3,0.204,Se,1,1,2,1,9.14,1,1,0,0,0,1,0,0,2
Iphiclides podalirius,1,Papilionidae,431,150102,1.447028296511275,0.02853761613368988,0.9706559181213379,P,6,0.118,3,0.105,Se,1,3,2,2,10.87,0,0,1,1,0,0,1,0,3.5
Issoria lathonia,3,Nymphalidae,9917,767970,-0.6755772638147048,-5.138516426086426e-4,-0.17016637325286865,ELPA,7,0.011,2,0.408,Se,2,2,1,2,9.33,1,0,0,0,1,1,1,1,4
Laeosopis roboris,3,Lycaenidae,361,40890,-3.103877774460809,0.009881287813186646,-0.3139786720275879,E,3,-0.031,2,0.707,Se,1,1,1,1,12.63,0,0,0,1,1,0,0,0,1
